Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0007153,Scribus,cicada,,normal,feature,always,1.3.5svn,Fonts,2008-07-20,,,,public,2016-12-08,Font Name should be shown in its own language,acknowledged,open,
0006979,Scribus,rabauke,,normal,minor,always,1.3.5svn,User Interface,2008-04-28,,,,public,2016-12-08,Scrolling and selecting in the style-editor does not work (edit pane grayed out),confirmed,open,
0013986,Scribus,Kunda,cbradney,normal,minor,have not tried,1.5.2.svn,NLS,2016-04-27,Yosemite,10.10.5,MacOSX,public,2016-12-08,RTL: Height x Width Chain needs to be flipped back after changing back to non-RTL interface,assigned,open,
0011324,Scribus,JLuc,,normal,minor,have not tried,1.5.0svn,Text Frames / Story Editor,2013-01-01,,,,public,2016-12-08,set font changes unselected next glyph's font,new,open,
0009400,Scribus,chappaai,,normal,minor,always,1.3.8,Fonts,2010-10-09,Windows,XP,PC,public,2016-12-08,Fonts installed via shortcut not found,confirmed,open,
0009373,Scribus,jon.grossart,,normal,minor,always,1.3.8,Text Frames / Story Editor,2010-09-26,Vista,SP2 x86,Win32,public,2016-12-08,Preconfiguring font doesn't take affect,confirmed,open,
0009057,Scribus,subeditor,,normal,minor,always,1.3.7svn,Integration,2010-04-24,Ubuntu,9.10,"PC AMD64 X2, Ati Radeon 3200",public,2016-12-08,Scribus floating toolbars are visible in other applications,confirmed,unable to reproduce,
0008571,Scribus,kk,,normal,minor,always,1.3.5,Fonts,2009-11-05,win,xp,,public,2016-12-08,Problems with Euro Sans,confirmed,open,
0005002,Scribus,christoph_s,,normal,minor,always,1.3.4cvs,Translation,2006-12-26,Linux,SuSE 10.1,x86,public,2016-12-08,Metabug - 1.5 Non-switching translations,acknowledged,fixed,1.5.1svn
0003667,Scribus,cedricsagne,,normal,feature,always,1.3.3,Text Frames / Story Editor,2006-04-17,all,all,all,public,2016-12-08,"Item > Attach text to path, spacing not uniform in U curves",confirmed,open,
0005174,Scribus,christoph_s,,normal,minor,always,1.3.4cvs,General,2007-01-15,Linux,SuSE 10.2,x86,public,2016-12-08,Auto Guides can't be used for the distribution of items,confirmed,open,
0013969,Scribus,Kunda,,normal,crash,sometimes,1.5.2.svn,Undo/Redo,2016-04-20,Yosemite,10.10.5,MacOSX,public,2016-12-08,Crash when undoing numbered lists,confirmed,open,
0012248,Scribus,FirasH,,normal,minor,always,1.5.0svn,Undo/Redo,2014-04-21,openSUSE,13.1,x86_64,public,2016-12-08,"""Smooth Path"" is not saved in Action History",confirmed,open,
0003455,Scribus,christoph_s,,high,major,always,1.3.4cvs,Undo/Redo,2006-03-17,,,,public,2016-12-08,"Undoing all changes should reset document status to ""unchanged""",acknowledged,open,
0013286,Scribus,FirasH,,normal,crash,always,1.5.1svn,Undo/Redo,2015-08-10,openSUSE,13.2,x86_64,public,2016-12-08,[PATCH] Undo/Redo used with Symbol conversion might cause crash on document closing,confirmed,open,
0013281,Scribus,FirasH,,normal,crash,always,1.5.1svn,Undo/Redo,2015-08-08,openSUSE,13.2,x86_64,public,2016-12-08,Undo/Redo of imported items (Barcode/PDF) casues Scribus crash on document closing,confirmed,open,
0011114,Scribus,jlwaber,,normal,major,always,1.4.1,Undo/Redo,2012-10-12,XP,SP3,Windows,public,2016-12-08,Undo deletes text after changing text properties,new,open,
0005873,Scribus,avox,avox,normal,major,always,1.3.5svn,Text Frames / Story Editor,2007-06-13,OSX,10.4,Mac,public,2016-12-08,Text gets truncated when using Type1 (PS) fonts,assigned,open,
0014432,Scribus,christoph_s,,normal,minor,always,1.4.7.svn,General,2016-12-08,Linux,openSUSE 42.1,x86 64,public,2016-12-08,Make some sense of the search function in the character palette,new,open,
0005457,Scribus,christian,,normal,text,always,1.3.3.8,User Interface,2007-03-15,Linux,Ubuntu 06.10,686,public,2016-12-08,Rotated text frame is erroneous added to all Master Pages when it bleeds off the page.,confirmed,open,
0014429,Scribus,christoph_s,,normal,minor,always,1.5.3,User Interface,2016-12-07,Linux,openSUSE 42.1,x86 64,public,2016-12-07,Picture Browser: Selection indication is confusing,new,open,
0014428,Scribus,christoph_s,,normal,minor,always,1.5.3.svn,Plug-ins,2016-12-07,Linux,openSUSE 42.1,x86 64,public,2016-12-07,"Picture Browser: ""Quick Insert"" doesn't do what it's supposed to do",new,open,
0013278,Scribus,Kunda,,low,minor,always,1.5.1svn,Translation,2015-08-05,Yosemite,10.10.4,MacOSX,public,2016-12-07,[OSX] Non-Switching Translation of OSX System Dropdowns,confirmed,open,
0012985,Scribus,Kunda,avox,normal,feature,have not tried,1.5.0,Fonts,2015-04-08,,,,public,2016-12-07,Improve font-checking script: discards potentially dangerous fonts during launch,assigned,open,
0005643,Scribus,gstaniak,,normal,feature,N/A,,Fonts,2007-05-07,,,,public,2016-12-07,Activation of freshly installed fonts without app restart,acknowledged,open,
0013341,Scribus,william,plinnell,normal,minor,N/A,,Build System,2015-09-07,,,RedHat / CentOS / Fedora,public,2016-12-06,The Scribus source is missing an RPM spec file,assigned,open,
